year,隊伍,姓名,生日,身高,體重,No.,位置,出賽場次,平均得分,平均籃板,平均助攻,平均火鍋,平均抄截,平均失誤,得分,三分命中,三分出手,三分命中率,兩分命中,兩分出手,兩分命中率,罰球進球,罰球出手,罰球命中率,進攻籃板,防守籃板,籃板,助攻,抄截,火鍋,失誤
2014-15,台啤,林宗慶,04/22/1986,188,92,8,SF,14,3.0,1.1,0.36,0.07,0.6,0.50,42,3,8,37.5,13,47,27.7,7,15,46.7,3,13,16,5,9,1,7
2014-15,台啤,王建惟,01/07/1985,191,92,10,PF,16,1.6,1.4,0.13,0,0.1,0.31,26,0,1,0,10,23,43.5,6,6,100,7,15,22,2,1,0,5
2014-15,台啤,林瑞堃,05/21/1986,178,75,7,PG,26,4.7,2.4,1.46,0.04,0.8,1.38,122,12,35,34.3,29,76,38.2,28,39,71.8,19,43,62,38,20,1,36
2014-15,台啤,賴國維,03/02/1990,180,78,98,PG,12,2.3,1.0,1.25,0,0.2,0.75,28,5,28,17.9,4,13,30.8,5,6,83.3,0,12,12,15,2,0,9
2014-15,台啤,劉錚,11/24/1990,192,80,5,SG,30,14.8,5.7,2.53,0.27,2.2,2.80,444,47,160,29.4,114,252,45.2,75,100,75,63,107,170,76,67,8,84
2014-15,台啤,龍弘元,10/24/1988,192,100,8,PF,18,2.4,2.2,0.17,0.11,0.3,0.39,44,0,0,0,20,33,60.6,4,8,50,14,25,39,3,5,2,7
2014-15,台啤,周伯勳,03/06/1991,197,85,25,PF,24,7.4,7.0,0.75,0.5,0.9,1.63,177,1,8,12.5,70,130,53.9,34,54,63,58,109,167,18,21,12,39
2014-15,台啤,王皓吉,09/22/1989,195,93,32,SF/PF,18,1.9,1.9,0.22,0,0.2,0.56,34,1,5,20,6,27,22.2,19,25,76,7,27,34,4,3,0,10
2014-15,台啤,左從凱,09/15/1986,188,80,15,SF/PF,28,9.2,2.3,1.14,0.18,1.0,0.93,257,26,86,30.2,75,176,42.6,29,50,58,8,55,63,32,29,5,26
2014-15,台啤,吳敏賢,12/19/1988,180,75,82,PG/SG,12,2.0,1.3,1.5,0,0.4,0.92,24,1,5,20,9,26,34.6,3,4,75,3,13,16,18,5,0,11
2014-15,台啤,呂奇旻,10/27/1989,188,87,23,SF/PF,16,6.6,1.8,1.69,0.19,0.6,1.94,106,11,37,29.7,28,54,51.9,17,35,48.6,10,19,29,27,9,3,31
2014-15,台啤,尚韋帆,03/09/1978,195,95,33,SF/PF,27,3.6,2.7,0.89,0.07,0.2,0.96,96,10,39,25.6,25,55,45.5,16,24,66.7,29,44,73,24,6,2,26
2014-15,台啤,賴佳圻,06/11/1991,198,95,16,SF/PF,3,0.0,0.7,0.33,0,0.0,0.00,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0
